MGnify_accession,Count
MGYG-HGUT-00412,50
MGYG-HGUT-00085,50
MGYG-HGUT-00410,50
MGYG-HGUT-00409,50
MGYG-HGUT-00087,50
MGYG-HGUT-00088,50
MGYG-HGUT-00653,50
MGYG-HGUT-00491,50
MGYG-HGUT-00276,50
MGYG-HGUT-00212,50
MGYG-HGUT-00652,50
MGYG-HGUT-00667,50
MGYG-HGUT-00072,50
MGYG-HGUT-00668,50
MGYG-HGUT-00070,50
MGYG-HGUT-00256,50
MGYG-HGUT-00258,50
MGYG-HGUT-00043,50
MGYG-HGUT-00700,50
MGYG-HGUT-00044,50
MGYG-HGUT-00696,50
MGYG-HGUT-00045,50
MGYG-HGUT-00695,50
MGYG-HGUT-00692,50
MGYG-HGUT-00179,50
MGYG-HGUT-00475,50
MGYG-HGUT-00177,50
MGYG-HGUT-00479,50
MGYG-HGUT-00236,50
MGYG-HGUT-00262,50
MGYG-HGUT-00263,50
MGYG-HGUT-00265,50
MGYG-HGUT-00170,50
MGYG-HGUT-00060,50
MGYG-HGUT-00062,50
MGYG-HGUT-00672,50
MGYG-HGUT-00233,50
MGYG-HGUT-00671,50
MGYG-HGUT-00267,50
MGYG-HGUT-00069,50
MGYG-HGUT-00089,50
MGYG-HGUT-00405,50
MGYG-HGUT-00041,50
MGYG-HGUT-00122,50
MGYG-HGUT-00148,50
MGYG-HGUT-00561,50
MGYG-HGUT-00370,50
MGYG-HGUT-00146,50
MGYG-HGUT-00549,50
MGYG-HGUT-00144,50
MGYG-HGUT-00369,50
MGYG-HGUT-00142,50
MGYG-HGUT-00320,50
MGYG-HGUT-00140,50
MGYG-HGUT-00226,50
MGYG-HGUT-00539,50
MGYG-HGUT-00538,50
MGYG-HGUT-00214,50
MGYG-HGUT-00217,50
MGYG-HGUT-00535,50
MGYG-HGUT-00534,50
MGYG-HGUT-00123,50
MGYG-HGUT-00139,50
MGYG-HGUT-00532,50
MGYG-HGUT-00519,50
MGYG-HGUT-00530,50
MGYG-HGUT-00225,50
MGYG-HGUT-00138,50
MGYG-HGUT-00362,50
MGYG-HGUT-00525,50
MGYG-HGUT-00562,50
MGYG-HGUT-00508,50
MGYG-HGUT-00567,50
MGYG-HGUT-00150,50
MGYG-HGUT-00646,50
MGYG-HGUT-00159,50
MGYG-HGUT-00644,50
MGYG-HGUT-00404,50
MGYG-HGUT-00215,50
MGYG-HGUT-00631,50
MGYG-HGUT-00502,50
MGYG-HGUT-00278,50
MGYG-HGUT-00099,50
MGYG-HGUT-00280,50
MGYG-HGUT-00282,50
MGYG-HGUT-00154,50
MGYG-HGUT-00606,50
MGYG-HGUT-00105,50
MGYG-HGUT-00106,50
MGYG-HGUT-00153,50
MGYG-HGUT-00107,50
MGYG-HGUT-00289,50
MGYG-HGUT-00600,50
MGYG-HGUT-00372,50
MGYG-HGUT-00591,50
MGYG-HGUT-00108,50
MGYG-HGUT-00151,50
MGYG-HGUT-00584,50
MGYG-HGUT-00113,50
MGYG-HGUT-00701,50
MGYG-HGUT-00133,50
MGYG-HGUT-00022,50
MGYG-HGUT-00196,50
MGYG-HGUT-00723,50
MGYG-HGUT-00036,50
MGYG-HGUT-00436,50
MGYG-HGUT-00730,50
MGYG-HGUT-00242,50
MGYG-HGUT-00252,50
MGYG-HGUT-00453,50
MGYG-HGUT-00722,50
MGYG-HGUT-00204,50
MGYG-HGUT-00209,50
MGYG-HGUT-00189,50
MGYG-HGUT-00205,50
MGYG-HGUT-00246,50
MGYG-HGUT-00208,50
MGYG-HGUT-00243,50
MGYG-HGUT-00247,50
MGYG-HGUT-00725,50
MGYG-HGUT-00014,50
MGYG-HGUT-00729,50
MGYG-HGUT-00195,50
MGYG-HGUT-00249,50
MGYG-HGUT-00250,50
MGYG-HGUT-00463,50
MGYG-HGUT-00032,50
MGYG-HGUT-00193,50
MGYG-HGUT-00203,50
MGYG-HGUT-00244,50
MGYG-HGUT-00033,50
MGYG-HGUT-00726,50
MGYG-HGUT-00199,50
MGYG-HGUT-00016,50
MGYG-HGUT-00251,50
MGYG-HGUT-00190,50
MGYG-HGUT-00187,50
MGYG-HGUT-00030,50
MGYG-HGUT-00197,50
MGYG-HGUT-00714,50
MGYG-HGUT-00039,50
MGYG-HGUT-00705,50
MGYG-HGUT-00707,50
MGYG-HGUT-00457,50
MGYG-HGUT-00200,50
MGYG-HGUT-00254,50
MGYG-HGUT-00743,50
MGYG-HGUT-00038,50
MGYG-HGUT-00027,50
MGYG-HGUT-00253,50
MGYG-HGUT-00183,50
MGYG-HGUT-00018,50
MGYG-HGUT-00026,50
MGYG-HGUT-00201,50
MGYG-HGUT-00029,50
MGYG-HGUT-00734,50
MGYG-HGUT-00028,50
MGYG-HGUT-00186,50
MGYG-HGUT-00245,50
MGYG-HGUT-00194,50
MGYG-HGUT-00185,50
MGYG-HGUT-04385,49
MGYG-HGUT-01413,49
MGYG-HGUT-00414,49
MGYG-HGUT-01764,49
MGYG-HGUT-03923,49
MGYG-HGUT-01655,49
MGYG-HGUT-03967,49
MGYG-HGUT-04412,49
MGYG-HGUT-00690,49
MGYG-HGUT-00460,48
MGYG-HGUT-02990,48
MGYG-HGUT-03090,48
MGYG-HGUT-00259,48
MGYG-HGUT-03734,48
MGYG-HGUT-00161,47
MGYG-HGUT-01295,47
MGYG-HGUT-03761,47
MGYG-HGUT-02489,47
MGYG-HGUT-04425,47
MGYG-HGUT-02724,47
MGYG-HGUT-02399,47
MGYG-HGUT-00875,46
MGYG-HGUT-02104,46
MGYG-HGUT-03449,46
MGYG-HGUT-01088,46
MGYG-HGUT-03486,46
MGYG-HGUT-02634,46
MGYG-HGUT-01975,45
MGYG-HGUT-00080,45
MGYG-HGUT-00602,45
MGYG-HGUT-00787,45
MGYG-HGUT-00094,45
MGYG-HGUT-00240,44
MGYG-HGUT-00742,44
MGYG-HGUT-00260,44
MGYG-HGUT-02270,44
MGYG-HGUT-03158,44
MGYG-HGUT-03692,44
MGYG-HGUT-04253,44
MGYG-HGUT-00332,43
MGYG-HGUT-01296,43
MGYG-HGUT-04339,43
MGYG-HGUT-01559,43
MGYG-HGUT-01042,43
MGYG-HGUT-00017,43
MGYG-HGUT-04129,42
MGYG-HGUT-01729,42
MGYG-HGUT-00141,42
MGYG-HGUT-03190,42
MGYG-HGUT-00832,42
MGYG-HGUT-00568,42
MGYG-HGUT-02573,42
MGYG-HGUT-02181,42
MGYG-HGUT-02559,42
MGYG-HGUT-04492,41
MGYG-HGUT-00344,41
MGYG-HGUT-00533,41
MGYG-HGUT-00779,41
MGYG-HGUT-03868,41
MGYG-HGUT-00128,41
MGYG-HGUT-01619,40
MGYG-HGUT-01918,40
MGYG-HGUT-04448,40
MGYG-HGUT-04088,40
MGYG-HGUT-01369,40
MGYG-HGUT-04070,40
MGYG-HGUT-03508,40
MGYG-HGUT-00715,40
MGYG-HGUT-00902,40
MGYG-HGUT-00507,39
MGYG-HGUT-01356,39
MGYG-HGUT-02617,39
MGYG-HGUT-03998,39
MGYG-HGUT-03056,39
MGYG-HGUT-00031,39
MGYG-HGUT-00639,39
MGYG-HGUT-01985,39
MGYG-HGUT-03094,39
MGYG-HGUT-03410,38
MGYG-HGUT-00119,38
MGYG-HGUT-02056,38
MGYG-HGUT-01191,38
MGYG-HGUT-02194,38
MGYG-HGUT-02512,38
MGYG-HGUT-01001,38
MGYG-HGUT-02710,38
MGYG-HGUT-04521,38
MGYG-HGUT-03476,38
MGYG-HGUT-00136,38
MGYG-HGUT-01176,37
MGYG-HGUT-04019,37
MGYG-HGUT-02519,37
MGYG-HGUT-03972,37
MGYG-HGUT-02473,37
MGYG-HGUT-02805,37
MGYG-HGUT-00093,37
MGYG-HGUT-00296,37
MGYG-HGUT-02456,37
MGYG-HGUT-02782,37
MGYG-HGUT-01379,37
MGYG-HGUT-03237,36
MGYG-HGUT-01109,36
MGYG-HGUT-01167,36
MGYG-HGUT-00013,36
MGYG-HGUT-00887,36
MGYG-HGUT-01326,36
MGYG-HGUT-02813,36
MGYG-HGUT-01023,35
MGYG-HGUT-00527,35
MGYG-HGUT-00994,35
MGYG-HGUT-02763,35
MGYG-HGUT-00466,35
MGYG-HGUT-00596,35
MGYG-HGUT-04404,35
MGYG-HGUT-00575,34
MGYG-HGUT-00506,34
MGYG-HGUT-02129,34
MGYG-HGUT-03302,34
MGYG-HGUT-02689,33
MGYG-HGUT-02784,33
MGYG-HGUT-00349,33
MGYG-HGUT-01521,33
MGYG-HGUT-02494,33
MGYG-HGUT-03344,33
MGYG-HGUT-02568,33
MGYG-HGUT-00441,33
MGYG-HGUT-02778,33
MGYG-HGUT-02483,33
MGYG-HGUT-01193,33
MGYG-HGUT-03335,33
MGYG-HGUT-00558,33
MGYG-HGUT-01141,32
MGYG-HGUT-01152,32
MGYG-HGUT-00046,32
MGYG-HGUT-00206,32
MGYG-HGUT-00218,32
MGYG-HGUT-00504,32
MGYG-HGUT-01762,32
MGYG-HGUT-02125,32
MGYG-HGUT-04221,32
MGYG-HGUT-04071,32
MGYG-HGUT-00444,32
MGYG-HGUT-00379,32
MGYG-HGUT-01328,32
MGYG-HGUT-02601,32
MGYG-HGUT-02190,32
MGYG-HGUT-03189,32
MGYG-HGUT-04115,32
MGYG-HGUT-02922,31
MGYG-HGUT-03004,31
MGYG-HGUT-02016,31
MGYG-HGUT-02047,31
MGYG-HGUT-01937,31
MGYG-HGUT-00169,31
MGYG-HGUT-01658,31
MGYG-HGUT-03230,31
MGYG-HGUT-04397,31
MGYG-HGUT-04150,31
MGYG-HGUT-00542,31
MGYG-HGUT-01420,31
MGYG-HGUT-04046,31
MGYG-HGUT-02605,30
MGYG-HGUT-00492,30
MGYG-HGUT-01981,30
MGYG-HGUT-01248,30
MGYG-HGUT-04447,30
MGYG-HGUT-00303,30
MGYG-HGUT-00760,30
MGYG-HGUT-00451,30
MGYG-HGUT-04642,30
MGYG-HGUT-04113,30
MGYG-HGUT-01948,29
MGYG-HGUT-02711,29
MGYG-HGUT-00037,29
MGYG-HGUT-03963,29
MGYG-HGUT-00979,29
MGYG-HGUT-01115,29
MGYG-HGUT-01055,29
MGYG-HGUT-04252,29
MGYG-HGUT-00235,29
MGYG-HGUT-04143,29
MGYG-HGUT-02779,29
MGYG-HGUT-04047,29
MGYG-HGUT-00872,29
MGYG-HGUT-02900,29
MGYG-HGUT-00090,29
MGYG-HGUT-01589,29
MGYG-HGUT-01304,29
MGYG-HGUT-04351,28
MGYG-HGUT-03488,28
MGYG-HGUT-03954,28
MGYG-HGUT-02316,28
MGYG-HGUT-03707,28
MGYG-HGUT-00160,28
MGYG-HGUT-02102,28
MGYG-HGUT-00323,28
MGYG-HGUT-02228,28
MGYG-HGUT-01630,28
MGYG-HGUT-02607,28
MGYG-HGUT-00353,28
MGYG-HGUT-02087,28
MGYG-HGUT-00406,27
MGYG-HGUT-03087,27
MGYG-HGUT-03075,27
MGYG-HGUT-03814,27
MGYG-HGUT-00912,27
MGYG-HGUT-00648,27
MGYG-HGUT-02608,27
MGYG-HGUT-00500,27
MGYG-HGUT-02363,27
MGYG-HGUT-01247,27
MGYG-HGUT-01401,27
MGYG-HGUT-01373,27
MGYG-HGUT-00149,27
MGYG-HGUT-02080,27
MGYG-HGUT-00035,27
MGYG-HGUT-01987,27
MGYG-HGUT-03741,26
MGYG-HGUT-04501,26
MGYG-HGUT-02278,26
MGYG-HGUT-03690,26
MGYG-HGUT-00942,26
MGYG-HGUT-03457,26
MGYG-HGUT-03460,26
MGYG-HGUT-00162,26
MGYG-HGUT-00850,26
MGYG-HGUT-02002,26
MGYG-HGUT-04036,26
MGYG-HGUT-02348,26
MGYG-HGUT-04081,26
MGYG-HGUT-00294,26
MGYG-HGUT-01342,26
MGYG-HGUT-03834,25
MGYG-HGUT-00537,25
MGYG-HGUT-02393,25
MGYG-HGUT-01236,25
MGYG-HGUT-02222,25
MGYG-HGUT-00230,25
MGYG-HGUT-04271,25
MGYG-HGUT-00918,25
MGYG-HGUT-02340,25
MGYG-HGUT-01673,25
MGYG-HGUT-03916,25
MGYG-HGUT-01930,25
MGYG-HGUT-00604,24
MGYG-HGUT-04376,24
MGYG-HGUT-02233,24
MGYG-HGUT-00434,24
MGYG-HGUT-04437,24
MGYG-HGUT-02821,24
MGYG-HGUT-04426,24
MGYG-HGUT-03740,24
MGYG-HGUT-01940,24
MGYG-HGUT-01689,24
MGYG-HGUT-00712,24
MGYG-HGUT-00741,24
MGYG-HGUT-03658,24
MGYG-HGUT-04025,24
MGYG-HGUT-00008,24
MGYG-HGUT-04038,24
MGYG-HGUT-01299,24
MGYG-HGUT-03307,24
MGYG-HGUT-01789,24
MGYG-HGUT-03226,24
MGYG-HGUT-02302,24
MGYG-HGUT-00622,24
MGYG-HGUT-03901,24
MGYG-HGUT-02783,24
MGYG-HGUT-00004,24
MGYG-HGUT-02236,23
MGYG-HGUT-00986,23
MGYG-HGUT-00438,23
MGYG-HGUT-01007,23
MGYG-HGUT-02317,23
MGYG-HGUT-04454,23
MGYG-HGUT-01939,23
MGYG-HGUT-03137,23
MGYG-HGUT-01301,23
MGYG-HGUT-02180,23
MGYG-HGUT-00791,23
MGYG-HGUT-00232,23
MGYG-HGUT-01192,23
MGYG-HGUT-03353,23
MGYG-HGUT-02335,23
MGYG-HGUT-04536,23
MGYG-HGUT-01860,23
MGYG-HGUT-01613,23
MGYG-HGUT-03652,23
MGYG-HGUT-01237,23
MGYG-HGUT-01819,23
MGYG-HGUT-04162,23
MGYG-HGUT-00939,23
MGYG-HGUT-00531,23
MGYG-HGUT-00528,22
MGYG-HGUT-03979,22
MGYG-HGUT-04612,22
MGYG-HGUT-03310,22
MGYG-HGUT-02621,22
MGYG-HGUT-02690,22
MGYG-HGUT-02903,22
MGYG-HGUT-00703,22
MGYG-HGUT-04565,22
MGYG-HGUT-00092,22
MGYG-HGUT-02328,22
MGYG-HGUT-02479,22
MGYG-HGUT-00211,22
MGYG-HGUT-03691,22
MGYG-HGUT-01933,22
MGYG-HGUT-00097,22
MGYG-HGUT-00155,22
MGYG-HGUT-03849,22
MGYG-HGUT-01258,22
MGYG-HGUT-02262,22
MGYG-HGUT-00111,22
MGYG-HGUT-03925,21
